run_id,timestamp,note,artifacts,size_mb,avg_size_kb,runtime_sec,user
20251111-105710,2025-11-11 10:57:10,csv-log-test,39,0.11,sk8br,,
20251111-105821,2025-11-11 10:58:21,csv-extended-test,41,0.11,sk8br,,
20251111-105821,2025-11-11 10:58:21,csv-extended-test,41,0.11,2.82,0.03,sk8br
20251111-110516,2025-11-11 11:05:16,final-embed,43,0.14,sk8br
20251111-110516,2025-11-11 11:05:16,final-embed,43,0.14,3.39,0.02,sk8br
20251111-110705,2025-11-11 11:07:05,trend-clean,44,0.14,sk8br
20251111-110705,2025-11-11 11:07:05,trend-clean,44,0.14,3.34,0.02,sk8br
20251111-111013,2025-11-11 11:10:13,trend-final,45,0.14,sk8br
20251111-111013,2025-11-11 11:10:13,trend-final,45,0.14,3.28,0.02,sk8br
20251111-111339,2025-11-11 11:13:39,trend-final,46,0.14,sk8br
20251111-111339,2025-11-11 11:13:39,trend-final,46,0.14,3.2,0.18,sk8br
20251111-111627,2025-11-11 11:16:27,trend-final,47,0.14,sk8br
20251111-111627,2025-11-11 11:16:27,trend-final,47,0.14,3.15,0.03,sk8br
20251111-111805,2025-11-11 11:18:05,trend-final-fix,48,0.15,sk8br
20251111-111805,2025-11-11 11:18:05,trend-final-fix,48,0.15,3.1,0.04,sk8br
20251111-111959,2025-11-11 11:19:59,trend-final-fix,49,0.15,sk8br
20251111-111959,2025-11-11 11:19:59,trend-final-fix,49,0.15,3.03,0.02,sk8br
20251111-112440,2025-11-11 11:24:40,smoke-with-trend,50,0.13,sk8br
20251111-112440,2025-11-11 11:24:40,smoke-with-trend,50,0.13,2.67,0.02,sk8br
